threshold,precision,recall,f1,tp,fp,fn
0.1,0.4370609721831975,0.852796052631579,0.577930522013747,3111,4007,537
0.11836734693877551,0.4589041095890411,0.8448464912280702,0.5947510613662678,3082,3634,566
0.13673469387755102,0.477892756349953,0.8355263157894737,0.6080191502094555,3048,3330,600
0.15510204081632656,0.49370606506457415,0.8278508771929824,0.6185355862775218,3020,3097,628
0.17346938775510207,0.5094661436124851,0.8188048245614035,0.6281148144254022,2987,2876,661
0.19183673469387758,0.5249110320284698,0.8086622807017544,0.6365990504963315,2950,2670,698
0.21020408163265308,0.5378662244333886,0.8001644736842105,0.643305785123967,2919,2508,729
0.2285714285714286,0.5547039662770645,0.7935855263157895,0.6529829705650163,2895,2324,753
0.2469387755102041,0.5666798575385833,0.7850877192982456,0.6582394851758216,2864,2190,784
0.2653061224489796,0.5767109295199183,0.7738486842105263,0.660891958328456,2823,2072,825
0.2836734693877551,0.5877637130801687,0.7637061403508771,0.664282308059132,2786,1954,862
0.3020408163265306,0.5974336668116572,0.753015350877193,0.6662624302692214,2747,1851,901
0.3204081632653062,0.611685393258427,0.7461622807017544,0.6722647567300567,2722,1728,926
0.3387755102040817,0.6212295648169468,0.7395833333333334,0.6752596671255162,2698,1645,950
0.3571428571428572,0.6312174324964471,0.7305372807017544,0.6772554002541296,2665,1557,983
0.3755102040816327,0.6418968467367392,0.7198464912280702,0.6786406512469312,2626,1465,1022
0.3938775510204082,0.6507297433316558,0.7088815789473685,0.6785620572028339,2586,1388,1062
0.41224489795918373,0.6590909090909091,0.6995614035087719,0.6787234042553192,2552,1320,1096
0.43061224489795924,0.665258711721225,0.6907894736842105,0.6777837547068317,2520,1268,1128
0.44897959183673475,0.6736526946107785,0.678453947368421,0.6760447965036875,2475,1199,1173
0.46734693877551026,0.6828515296098793,0.6669407894736842,0.6748023852447649,2433,1130,1215
0.48571428571428577,0.6927502876869965,0.6600877192982456,0.6760247052217855,2408,1068,1240
0.5040816326530613,0.701386839775745,0.6515899122807017,0.6755719766946141,2377,1012,1271
0.5224489795918368,0.7086614173228346,0.6414473684210527,0.6733812949640288,2340,962,1308
0.5408163265306123,0.7170458086631349,0.6307565789473685,0.6711389820621263,2301,908,1347
0.5591836734693878,0.727331189710611,0.6200657894736842,0.6694288250961823,2262,848,1386
0.5775510204081633,0.7321016166281755,0.6082785087719298,0.6644707291510705,2219,812,1429
0.5959183673469388,0.7397167902899529,0.6014254385964912,0.6634411853643787,2194,772,1454
0.6142857142857143,0.7449617790132036,0.5877192982456141,0.6570640514863623,2144,734,1504
0.6326530612244898,0.7514265335235378,0.5775767543859649,0.653130812151271,2107,697,1541
0.6510204081632653,0.7574750830564784,0.5625,0.6455875412930627,2052,657,1596
0.6693877551020408,0.7652007648183556,0.5485197368421053,0.6389908989302251,2001,614,1647
0.6877551020408164,0.77751291219706,0.5364583333333334,0.6348742903487429,1957,560,1691
0.7061224489795919,0.7859793814432989,0.5224780701754386,0.6276963609418739,1906,519,1742
0.7244897959183674,0.7941680960548885,0.5076754385964912,0.6193979933110368,1852,480,1796
0.7428571428571429,0.8,0.4901315789473684,0.6078531361550229,1788,447,1860
0.7612244897959184,0.8098159509202454,0.47039473684210525,0.5951101092422403,1716,403,1932
0.7795918367346939,0.8164588528678304,0.4487390350877193,0.5791615071643376,1637,368,2011
0.7979591836734694,0.8226315789473684,0.4284539473684211,0.5634462869502525,1563,337,2085
0.8163265306122449,0.8273942093541202,0.40734649122807015,0.5459221160911094,1486,310,2162
0.8346938775510204,0.8346085932901707,0.3887061403508772,0.5303908733869459,1418,281,2230
0.8530612244897959,0.8503532434168273,0.36293859649122806,0.5087415946205571,1324,233,2324
0.8714285714285714,0.8582565556343019,0.3319627192982456,0.47875074125321204,1211,200,2437
0.889795918367347,0.8748991121872478,0.29714912280701755,0.4436259463883774,1084,155,2564
0.9081632653061225,0.8820171265461465,0.25411184210526316,0.39455203234730796,927,124,2721
0.926530612244898,0.8983833718244804,0.21326754385964913,0.34470536109880373,778,88,2870
0.9448979591836735,0.9059561128526645,0.15844298245614036,0.269715352309846,578,60,3070
0.963265306122449,0.9251497005988024,0.08470394736842106,0.15519839276745354,309,25,3339
0.9816326530612246,0.9473684210526315,0.014802631578947368,0.029149797570850202,54,3,3594
1.0,0.0,0.0,0.0,0,0,3648
